Source,Target
Alexander Markov,13th PURE DREAMS International
Rika Noguchi,55th Carnegie International
Setareh Shahbazi,98weeks Project Space
Eduard Puterbrot,AA
Daniel Garcia,Abbas Kiarostami
Rania Attieh,Abbas Kiarostami
Bob Landry,Abdul Aziz
David Douglas Duncan,Abdul Aziz
Fahda bint Saud,Abdul Aziz
Kassab Bachi,Abdul Hameed Shoman Foundation
Nasser Al Maimoon,Abdullah Riza
Saeed Salem,Abdul Latif
Samah Hijawi,Abdul Nasser
Abdulnasser Al-Amri,Abdulnasser Gharem
Kader Attia,Abraaj Art Capital
Hamra Abbas,Abraaj Capital
Jananne Al-Ani,Abraaj Capital
Wael Shawky,Abraaj Capital
Panos Tsagaris,Abrons Arts Center
Daniel Garcia,Abu Dhabi Film Festival
Rania Attieh,Abu Dhabi Film Festival
Luc Sante,Academy of Arts
Raffie Davtian,Academy of Arts
Ayman Ramadan,Academy of Art University
Erkka Nissinen,Academy of Fine Art
Shahriar Ahmadi,Academy of Fine Art
Abdulhalim Radwi,Academy of Fine Arts
Ayşe Erkmen,Academy of Fine Arts
Elias Zayat,Academy of Fine Arts
Fateh Moudarres,Academy of Fine Arts
Harun Farocki,Academy of Fine Arts
Leila Pazooki,Academy of Fine Arts
Mona Marzouk,Academy of Fine Arts
Nika Oblak,Academy of Fine Arts
Primož Novak,Academy of Fine Arts
Samira Badran,Academy of Fine Arts
Walid Siti,Academy of Fine Arts
Hiroyuki Masuyama,Academy of Media Arts
Hiroyuki Masuyama,Academy of the Arts
Adrian Paci,Accademia Carrara di Belle Arti
Keith Shiri,ACP
Meriç Algün Ringborg,Adam Carr
Adele Ne Jame,Adele NeJame
Melissa Chimera,Adele NeJame
Waheeda Malullah,Advertising and Marketing
Teboho Mahlatsi,Africa Cultural Centre
Keith Shiri,Africa Media Centre
Keith Shiri,Africa Movie Academy
Pouya Parsamagham,Ahmad Amin-Nazar
Lulwah Al-Homoud,Ahmed Moustafa
Fumito Urabe,Aichi Prefectural University of Fine Arts
Firoz Mahmud,Aichi Triennale
"Lúcia Koch ",Aichi Triennale
Ryoji Ikeda,Aichi Triennale
Walid Raad,AIF
Adrian Paci,Akademia e Arteve
Laurent Grasso,Akbank Sanat
Ahmed Felemban,Al-Aajam
Faisal Samra,Al-Adha
Abdullah Al Saadi,Al Ain
Samiah Khashoggi,Al-Alamya
Ziad Antar,al-Arabiya
Sulayman Al Bassam,al Athar
Mohammed Al Ghamdi,Al Baha
Musaed Alhulis,Al Baha
Ebtisam Abdulaziz,Al Bastakiya
Bijoy Jain,Albert Museum
Wissam Shawkat,Al Burda International
Ali Al-Tokhais,Al-Dawadmi
Mounir Al-Shaarani,Al Dirany
Jamal Al Kebasi,Al Dori
Manal Al Dowayan,Al-Dowayan
Tom Molloy,Aldrich Contemporary Art Museum
Yazan Khalili,Alessandro Petti
Mona Marzouk,Alexandria Contemporary Arts Forum
Zbyněk Baladrán,Alexandria Contemporary Arts Forum
